"Код","Артикул","Наименование","Полное наименование","Цена дил.","Цена роз.","Статус","Остаток","Заказ"
"Мобильные телефоны и аксессуары","","","","","","","",""
"Мобильные телефоны","","","","","","","",""
"50704","23021RAA2Y","Мобильный телефон Redmi Note 12 4GB RAM 128GB ROM NFC Ice Blue","Мобильный телефон, Redmi, Note 12 4GB 128GB, 6.67"" AMOLED, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx/13MPx, Snapdragon 685, Gorilla Glass 3, Fast Charge 33W, NFC, (Ice Blue) Синий","101000","119990","",">50",""
"50705","23021RAA2Y","Мобильный телефон Redmi Note 12 6GB RAM 128GB ROM NFC Ice Blue","Мобильный телефон, Redmi, Note 12 6GB 128GB, 6.67"" AMOLED, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx/13MPx, Snapdragon 685, Gorilla Glass 3, Fast Charge 33W, NFC, (Ice Blue) Синий","118000","139990","",">50",""
"51362","2209116AG","Мобильный телефон Redmi Note 12 Pro 8GB RAM 256GB ROM Graphite Gray","Мобильный телефон, Redmi, Note 12 Pro 8GB 256GB, 6.67"" FHD+AMOLED, Аккумулятор 5000 мАч, 2400х1080, Bluetooth 5.2, 108MPx+8MPx+2MPx+2MPx/16MPx, Snapdragon 732G, Gorilla Glass 5, NFC, Fast Charge 67W, (Graphite Gray) Серый","152000","179990","",">50",""
"51363","2209116AG","Мобильный телефон Redmi Note 12 Pro 8GB RAM 256GB ROM Glacier Blue","Мобильный телефон, Redmi, Note 12 Pro 8GB 256GB, 6.67"" FHD+AMOLED, Аккумулятор 5000 мАч, 2400х1080, Bluetooth 5.2, 108MPx+8MPx+2MPx+2MPx/16MPx, Snapdragon 732G, Gorilla Glass 5, NFC, Fast Charge 67W, (Glacier Blue) Синий","152000","179990","",">50",""
"51377","2209116AG","Мобильный телефон Redmi Note 12 Pro 8GB RAM 256GB ROM Polar White","Мобильный телефон, Redmi, Note 12 Pro 8GB 256GB, 6.67"" FHD+AMOLED, Аккумулятор 5000 мАч, 2400х1080, Bluetooth 5.2, 108MPx+8MPx+2MPx+2MPx/16MPx, Snapdragon 732G, Gorilla Glass 5, NFC, Fast Charge 67W, (Polar White) Белый","152000","179990","",">50",""
"51375","22101316UG","Мобильный телефон Redmi Note 12 Pro+ 5G 8GB RAM 256GB ROM Sky Blue","Мобильный телефон, Redmi, Note 12 Pro+ 5G 8GB 256GB, 6.67"" FHD+AMOLED, Аккумулятор 5000 мАч, 2400х1080, Bluetooth 5.2, 200MPx+8MPx+2MPx/16MPx, Dimensity 1080 5G, Gorilla Glass 5, NFC, Hyper Charge 120W, (Sky Blue) Синий","177000","209990","",">50",""
"51541","22101316UG","Мобильный телефон Redmi Note 12 Pro+ 5G 8GB RAM 256GB ROM Midnight Black","Мобильный телефон, Redmi, Note 12 Pro+ 5G 8GB 256GB, 6.67"" FHD+AMOLED, Аккумулятор 5000 мАч, 2400х1080, Bluetooth 5.2, 200MPx+8MPx+2MPx/16MPx, Dimensity 1080 5G, Gorilla Glass 5, NFC, Hyper Charge 120W, (Midnight Black) Чёрный","177000","209990","",">50",""
"51542","22101316UG","Мобильный телефон Redmi Note 12 Pro+ 5G 8GB RAM 256GB ROM Polar White","Мобильный телефон, Redmi, Note 12 Pro+ 5G 8GB 256GB, 6.67"" FHD+AMOLED, Аккумулятор 5000 мАч, 2400х1080, Bluetooth 5.2, 200MPx+8MPx+2MPx/16MPx, Dimensity 1080 5G, Gorilla Glass 5, NFC, Hyper Charge 120W, (Polar White) Белый","177000","209990","",">50",""
"40383","21081111RG","Мобильный телефон Xiaomi 11T 8GB RAM 128GB ROM Celestial Blue","Мобильный телефон, Xiaomi, 11T 8GB 128GB, 6.67"" AMOLED, Аккумулятор 5000 мАч, 108MPx+8MPx+5MPx/16MPx, Dimensity 1200, Gorilla Glass Victus, NFC, Fast Charge 67W, (Celestial Blue) Синий","197900","197900","","30",""
"44157","2203129G","Мобильный телефон Xiaomi 12 Lite 8GB RAM 128GB ROM Black","Мобильный телефон, Xiaomi, 12 Lite 8GB 128GB, 6.55"" FHD+AMOLED, Аккумулятор 4300 мАч, 108MPx+8MPx+2MPx/32MPx, Snapdragon 778G, Gorilla Glass 5, Fast Charge 67W, (Black) Чёрный","179990","159990","","0",""
"44159","2203129G","Мобильный телефон Xiaomi 12 Lite 8GB RAM 128GB ROM Lite Pink","Мобильный телефон, Xiaomi, 12 Lite 8GB 128GB, 6.55"" FHD+AMOLED, Аккумулятор 4300 мАч, 108MPx+8MPx+2MPx/32MPx, Snapdragon 778G, Gorilla Glass 5, Fast Charge 67W, (Lite Pink) Светло-розовый","179990","159990","","0",""
